0	A stay interview is an interview or, more likely, a conversation, between a manager and an employee, with the purpose of learning what keeps that team member working for the company as well as any aspects of the organization that need improvement or change.
1	Skin kindness is a new skincare trend that focuses on the benefits of lighter skincare products like face wash and body wash.
2	A cyber risk score is a numerical assessment of the level of security of an organization’s networks and systems.
3	An angel shot is a drink order made by a customer to inform a bartender that they are in an unsafe situation and need assistance.
4	Greenwashing is the act or practice of making a product, policy, activity, etc. appear to be more environmentally friendly or less environmentally damaging than it really is
5	A bear market is when a market experiences prolonged price declines.
6	Compersion is vicarious joy associated with seeing one's partner have a joyful romantic or sexual relation with another.
7	Oystering is the idea that people finding themselves back in the single seat, and getting back into the dating world post-break-up are seeing the world as their oyster.
8	femicide is the killing of a woman or girl, in particular by a man and on account of her gender.
9	A “splinternet” is the idea that the open, globally connected Internet we all use splinters into a collection of fragmented networks controlled by governments or corporations.
10	Reproductive freedom is about the legal right to contraception, abortion, fertility treatment, reproductive health, and access to information about one's reproductive body.
11	Paxlovid is an oral antiviral pill used to treat COVID-19.
12	A zero-COVID policy is an attempt to prevent any community spread of the coronavirus by keeping cases as close to zero as possible.
13	Monkeypox is an infectious disease caused by a virus. It can cause a painful rash, enlarged lymph nodes and fever.
14	Blackfishing is the act of someone who is not Black pretending to be Black with the use of methods such as makeup, tanning, or technology like filters and Photoshop.
15	A photo dump is a random collection of photos that aren't too curated or edited.
16	Airborne transmission is transmission of an infectious disease through small particles suspended in the air.
17	A “neurodivergent” person refers to a person on the autism spectrum or, more generally, to someone whose brain processes information in a way that is not typical of most individuals.
18	A work life revolution is a change in how employees see the role of work in their lives and places more importance on valuing their personal lives.
19	Gender pronouns are the set of pronouns that an individual wants others to use to reflect that person's gender identity
20	A bivalent booster is a vaccine that protects against both the original virus that causes the disease and any new variants.
21	Latinx refers to a person of Latin American origin or descent and is used as a gender-neutral or nonbinary alternative to Latino or Latina.
22	A seller concession is a portion of the buyer's closing costs and prepaid expenses that the seller agrees to pay for, lowering the overall upfront costs for the buyer.
23	"Pushing P" roughly means keeping it real and staying true to oneself.
24	Platform engineering is the discipline of designing and building Internal Developer Platforms, toolchains and workflows that enable self-service capabilities for software engineering organizations.
25	A minichurch is a religious congregation of a small group of people.
26	Crypto winter refers to a prolonged bear market in the cryptocurrency industry, characterised by a significant decrease in the prices of cryptocurrencies and a reduction in market capitalization.
27	A kpi is a type of performance measurement that evaluates the success of an organization or of a particular activity in which it engages.
28	The butterfly cut is a very layered, feathery haircut thats longest layers fall just below the shoulder.
29	wokeness is the quality of being alert to and concerned about social injustice and discrimination.
30	A culture budget is money allocated to focus on the behavior of employees and whether the people in the organization are acting in the ways that will help the organization move forward in the right direction.
31	An NFT is a unique digital identifier that is recorded on a blockchain, and is used to certify ownership and authenticity.
32	A satanic panic is a phenomenon that sees the rise of baseless conspiracy theories about cults committing mass child abuse spread around the country.
33	Gender-affirming care encompasses a range of social, psychological, behavioral, and medical interventions “designed to support and affirm an individual’s gender identity” when it conflicts with the gender they were assigned at birth.
34	Cyber-insurance is a specialty insurance product intended to protect businesses from Internet-based risks, and more generally from risks relating to information technology infrastructure and activities.
35	Longtermism is the ethical view that positively influencing the long-term future is a key moral priority of our time.
36	A Blue Alert provides information about violent offenders who have killed, seriously injured, or pose an imminent and credible threat to law enforcement.
37	Maskne is a breakout of acne or a related skin condition that is caused by wearing a face mask over an extended period of time.
38	Hybrid work is a flexible working model where employees work partly in the physical workplace, and partly remotely – at home or from another workspace.
39	Gigfluencers are people with full-time jobs who perform social media influencer tasks on the side.
40	A masculine urge is an urge to do something as a man.
41	A feminine urge is an urge to do something as a woman.
42	A burn pit is an area devoted to open-air combustion of trash.
43	An infection is said to be endemic in a specific population or populated place when that infection is constantly present, or maintained at a baseline level, without extra infections being brought into the group as a result of travel or similar means.
44	Stagflation is persistent high inflation combined with high unemployment and stagnant demand in a country's economy.
45	A stay-at-home girlfriend is a long term girlfriend who doesn't work and is completely supported by her partner financially.
46	Adaptogenic mushrooms are mushrooms that may help reduce the effects of stress on your body.
47	Being anti-black is defined as the beliefs, attitudes, actions, practices, and behaviors of individuals and institutions that devalue, minimize, and marginalize the full participation of Black people.
48	CRISPR is a technology that research scientists use to selectively modify the DNA of living organisms.
49	Mermaidcore is an aesthetic focusing on imagery and fashion related to mermaids.
50	Rollups refers to a crypto scaling solution for blockchains which involvesr compiling a bunch of transactions on a layer 2 blockchain and turning them into a single piece of data to broadcast on a Layer 1 blockchain.
51	Pearlcore is an aesthetic that uses shiny pearls in clothing and home decor.
52	Adaptogens are plants and mushrooms that help your body respond to stress, anxiety, fatigue and overall wellbeing.
53	Delta 8 is a psychoactive cannabinoid found in the Cannabis plant.
54	A smart contract is a computer program or a transaction protocol that is intended to automatically execute, control or document events and actions according to the terms of a contract or an agreement.
55	A gerontocracy is a state, society, or group governed by old people.
56	Liquid chlorophyll is a supplement that is extracted from the pigment chlorophyll found in plants.
57	Privilege escalation is the act of exploiting a bug, a design flaw, or a configuration oversight in an operating system or software application to gain elevated access to resources that are normally protected from an application or user.
58	Climate migration is a subset of climate-related mobility that refers to primarily voluntary movement driven by the impact of sudden or gradual climate-exacerbated disasters.
59	Dirty soda is a drink consisting of soda "spiked" with cream and flavored syrups or fruit juices.
